"BehaviorSpace results (NetLogo 6.2.2)"
"SPE316_Final_Project_Pseudologia_Fantastica_Analysis.nlogo"
"PD_lie"
"12/29/2022 00:37:29:616 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20","21","21","22","22","23","23","24","24","25","25","26","26","27","27","28","28","29","29","30","30","31","31","32","32","33","33","34","34","35","35","36","36","37","37","38","38","39","39","40","40","41","41","42","42","43","43","44","44","45","45","46","46","47","47","48","48","49","49","50","50","51","51","52","52","53","53","54","54","55","55","56","56","57","57","58","58","59","59","60","60","61","61","62","62","63","63","64","64"
"lie_fall_high","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",
"lie_high","50",,"50",,"50",,"50",,"60",,"60",,"60",,"60",,"70",,"70",,"70",,"70",,"80",,"80",,"80",,"80",,"50",,"50",,"50",,"50",,"60",,"60",,"60",,"60",,"70",,"70",,"70",,"70",,"80",,"80",,"80",,"80",,"50",,"50",,"50",,"50",,"60",,"60",,"60",,"60",,"70",,"70",,"70",,"70",,"80",,"80",,"80",,"80",,"50",,"50",,"50",,"50",,"60",,"60",,"60",,"60",,"70",,"70",,"70",,"70",,"80",,"80",,"80",,"80",
"lie_rise_low","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"lie_fall_low","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"lie_low","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"lie_rise_high","5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",
"[reporter]","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles"
"[final]","22.4029304029304","91.66666666666667","65.75294117647059","16.51372549019608","70.80970149253731","12.89179104477612","73.44444444444444","11.122222222222222","26.973584905660378","87.58490566037736","66.06741573033707","17.205992509363295","71.71586715867159","13.066420664206642","75.12367491166077","10.141342756183745","33.78832116788321","84.2956204379562","68.13207547169812","16.947169811320755","71.93333333333334","12.222222222222221","75.41132075471698","11.966037735849056","40.059701492537314","76.7089552238806","69.67175572519083","16.564885496183205","73.86567164179104","13.682835820895523","74.4275092936803","11.28624535315985","8.67142857142857","92.16428571428571","22.20472440944882","89.63385826771653","58.5985401459854","22.00729927007299","65.78308823529412","15.150735294117647","11.223021582733812","92.94604316546763","29.6728624535316","87.56877323420075","60.43589743589744","20.249084249084248","66.62545454545455","17.12","12.044943820224718","92.45318352059925","36.53046594982079","85.46236559139786","63.65758754863813","23.315175097276263","68.91353383458646","16.68796992481203","23.575187969924812","90.42857142857143","37.12643678160919","78.2375478927203","62.544117647058826","23.643382352941178","67.27509293680298","16.49442379182156","10.970149253731343","93.09328358208955","13.026315789473685","92.15413533834587","22.223048327137548","88.72862453531599","55.75190839694657","24.946564885496183","9.81203007518797","91.96616541353383","15.611320754716981","91.69433962264151","28.516728624535315","88.38289962825279","58.73180076628353","28.578544061302683","11.072992700729927","92.06569343065694","22.095940959409592","90.1549815498155","33.21590909090909","84.1780303030303","58.36496350364963","25.514598540145986","14.025830258302584","90.8450184501845","28.67049808429119","87.27586206896552","44.30451127819549","63.31578947368421","58.723880597014926","27.567164179104477","10.180147058823529","92.06617647058823","11.793478260869565","93.06884057971014","18.15530303030303","91.125","22.136029411764707","89.82720588235294","10.406015037593985","92.32330827067669","11.26865671641791","93.56343283582089","19.881481481481483","90.50740740740741","30.202952029520294","84.72324723247233","12.738636363636363","90.81818181818181","19.2014652014652","91.12820512820512","26.249084249084248","89.85714285714286","48.05343511450382","53.900763358778626","14.172549019607843","92.6313725490196","24.752851711026615","89.212927756654","31.99621212121212","88.68181818181819","47.41263940520446","65.45353159851301"
"[min]","18.95223880597015","56.082","31.07","8.558724832214764","30.394","3.7357859531772575","31.396","2.3668341708542715","23.225705329153605","55.742","35.796","8.082298136645962","34.764","3.908759124087591","34.16","2.4387596899224806","32.445945945945944","54.554","41.85","8.482919254658386","39.674","4.003496503496503","40.524","2.384892086330935","40.059701492537314","55.096","46.748","7.62248322147651","45.984","3.933333333333333","45.684","2.4169491525423727","4.7672727272727276","55.26","16.700374531835205","53.906","29.91","13.766778523489933","30.406","7.52013422818792","6.527950310559007","54.388","25.993399339933994","53.856","34.428","13.338509316770187","35.018","7.523809523809524","8.303448275862069","56.7","33.671140939597315","54.536","40.872","12.97979797979798","39.492","7.33029197080292","11.562043795620438","57.008","36.7208480565371","54.836","44.734","12.548821548821548","44.324","7.3720136518771335","4.813664596273292","54.568","8.339768339768339","55.058","17.498349834983497","54.858","31.374","17.382395382395384","5.04735883424408","56.556","12.118773946360154","54.416","24.648275862068967","55.188","35.968","19.103896103896105","5.750387596899225","53.154","14.180064308681672","53.048","33.21590909090909","56.506","38.658","17.107382550335572","6.932604735883425","56.52","18.68288590604027","54.032","42.50684931506849","55.142","43.53","17.64751552795031","4.619307832422587","55.032","5.246644295302014","56.104","14.799689440993788","55.974","21.331103678929765","53.714","3.096539162112933","55.718","7.350943396226415","52.874","17.7248322147651","54.482","22.887323943661972","54.722","4.647457627118644","54.76","9.723132969034609","56.684","17.529411764705884","54.752","39.208","48.834375","5.413479052823315","54.394","12.242258652094717","54.078","26.434306569343065","55.474","42.24","44.85239852398524"
