"BehaviorSpace results (NetLogo 6.2.2)"
"SPE316_Final_Project_Pseudologia_Fantastica.nlogo"
"PD_trust"
"12/29/2022 03:20:38:703 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20","21","21","22","22","23","23","24","24","25","25","26","26","27","27","28","28","29","29","30","30","31","31","32","32","33","33","34","34","35","35","36","36","37","37","38","38","39","39","40","40","41","41","42","42","43","43","44","44","45","45","46","46","47","47","48","48","49","49","50","50","51","51","52","52","53","53","54","54","55","55","56","56","57","57","58","58","59","59","60","60","61","61","62","62","63","63","64","64","65","65","66","66","67","67","68","68","69","69","70","70","71","71","72","72","73","73","74","74","75","75","76","76","77","77","78","78","79","79","80","80"
"trust_high","20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"40",,"40",,"40",,"40",,"40",,"40",,"40",,"40",,"40",,"40",,"40",,"40",,"40",,"40",,"40",,"40",,"60",,"60",,"60",,"60",,"60",,"60",,"60",,"60",,"60",,"60",,"60",,"60",,"60",,"60",,"60",,"60",,"80",,"80",,"80",,"80",,"80",,"80",,"80",,"80",,"80",,"80",,"80",,"80",,"80",,"80",,"80",,"80",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",
"trust_fall_high","5",,"5",,"5",,"5",,"10",,"10",,"10",,"10",,"15",,"15",,"15",,"15",,"20",,"20",,"20",,"20",,"5",,"5",,"5",,"5",,"10",,"10",,"10",,"10",,"15",,"15",,"15",,"15",,"20",,"20",,"20",,"20",,"5",,"5",,"5",,"5",,"10",,"10",,"10",,"10",,"15",,"15",,"15",,"15",,"20",,"20",,"20",,"20",,"5",,"5",,"5",,"5",,"10",,"10",,"10",,"10",,"15",,"15",,"15",,"15",,"20",,"20",,"20",,"20",,"5",,"5",,"5",,"5",,"10",,"10",,"10",,"10",,"15",,"15",,"15",,"15",,"20",,"20",,"20",,"20",
"trust_rise_low","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"trust_fall_low","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"trust_low","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"trust_rise_high","5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",,"5",,"10",,"15",,"20",
"[reporter]","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles"
"[final]","21.23308270676692","50.99248120300752","72.6231343283582","44.014925373134325","80.61481481481482","44.41851851851852","83.12167300380229","47.460076045627375","6.858208955223881","49.8134328358209","38.888888888888886","46.64074074074074","70.98545454545454","45.734545454545454","75.17712177121771","48.140221402214024","5.066666666666666","47.44074074074074","14.437735849056605","49.656603773584905","40.69076305220884","48.17269076305221","63.06563706563706","45.52123552123552","4.182481751824818","50.551094890510946","11.102189781021897","49.25547445255474","25.424908424908423","48.827838827838825","45.90909090909091","49.15530303030303","25.529850746268657","47.458955223880594","77.8501872659176","42.13483146067416","82.4776119402985","43.958955223880594","85.65217391304348","43.71376811594203","8.418181818181818","48.06545454545454","37.567669172932334","49.31578947368421","72.61654135338345","46.75187969924812","76.14338235294117","46.6764705882353","7.447272727272727","51.38181818181818","16.33823529411765","48.794117647058826","41.349809885931556","47.950570342205324","69.3768656716418","44.41417910447761","5.938405797101449","48.47463768115942","11.267657992565056","50.50557620817844","24.103448275862068","49.30651340996169","50.1865671641791","46.014925373134325","36.73913043478261","49.018115942028984","77.34074074074074","49.72592592592593","85.3804347826087","43.68840579710145","87.48148148148148","41.785185185185185","10.685823754789272","50.14176245210728","45.32319391634981","49.79847908745247","74.31617647058823","47.875","81.86363636363636","44.27272727272727","8.837735849056603","46.988679245283016","19.98181818181818","49.661818181818184","50.80988593155894","44.26235741444867","70.88721804511279","45.07142857142857","7.6","48.582142857142856","14.575757575757576","46.90909090909091","25.807407407407407","50.63333333333333","47.36704119850187","48.79026217228464","48.80149812734082","50.254681647940075","86.182156133829","38.62453531598513","86.02651515151516","45.04924242424242","88.60754716981133","44.698113207547166","13.385767790262172","52.01498127340824","49.73285198555957","47.494584837545126","79.03358208955224","43.63059701492537","81.93840579710145","45.742753623188406","11.06959706959707","49.20879120879121","24.666666666666668","49.16117216117216","47.69318181818182","47.75","74.71374045801527","43.412213740458014","9.305147058823529","49.658088235294116","16.10332103321033","49.32841328413284","31.963503649635037","50.87591240875913","55.39776951672862","45.34944237918216","63.98884758364312","42.60223048327138","83.25746268656717","46.25","85.62641509433962","51.30566037735849","90.44086021505376","43.89247311827957","17.741007194244606","48.73741007194245","71.01140684410646","43.38783269961977","82.94360902255639","43.29323308270677","84.5433962264151","45.62641509433962","12.776951672862454","49.55018587360595","26.25","49.19402985074627","51.62592592592593","49.785185185185185","76.44649446494465","44.154981549815496","10.752767527675276","49.22878228782288","17.475836431226767","49.71003717472119","32.64620938628159","49.82310469314079","71.43795620437956","42.324817518248175"
"[min]","9.534","46.90035587188612","9.694","41.49698795180723","9.778","37.65625","10.266","40.50152905198777","4.836879432624113","46.61006289308176","9.972","45.965753424657535","9.774","40.77813504823151","10.202","39.5","3.2007299270072993","45.47794117647059","9.8","46.252","9.946","43.95959595959596","9.89","41.17333333333333","2.3661538461538463","45.87062937062937","8.58843537414966","46.684","10.084","46.4203821656051","9.562","45.97651006711409","19.962","45.254","20.338","38.15862068965517","19.312","41.2042042042042","20.514","40.7248322147651","5.379310344827586","45.522","19.548","45.02090592334495","20.028","39.9635761589404","20.232","43.00352112676056","3.413680781758958","46.02","14.635906040268456","46.302","19.8","45.89221556886228","19.062","43.27147766323024","2.8190476190476192","45.968","9.35593220338983","46.21212121212121","20.9","44.722","20.972","44.676","29.938","45.309963099631","30.688","37.981651376146786","30.06","40.613138686131386","29.562","38.20676691729323","5.857621440536013","45.176","31.212","44.79467680608365","30.01","45.48251748251748","30.158","36.69830508474576","3.727891156462585","45.39179104477612","15.853035143769969","46.611486486486484","29.982","43.642857142857146","30.674","40.716312056737586","3.0255009107468123","46.332","9.654109589041095","45.96","24.59","46.23","28.914","44.74679487179487","40.176","43.82971014492754","40.236","38.17571884984026","40.27","42.42045454545455","39.48","40.97885196374622","7.04031007751938","46.608","38.818","45.15412186379928","41.478","39.370860927152314","39.016","42.91818181818182","4.18037518037518","45.94139194139194","17.357382550335572","46.28834355828221","40.018","44.50920245398773","39.088","39.82312925170068","3.169278996865204","47.312","8.741279069767442","45.62","25.775280898876403","45.314","41.006","44.38970588235294","49.27","42.60223048327138","50.078","43.256493506493506","49.328","38.77739726027397","50.126","40.960144927536234","8.463203463203463","45.228","49.98","37.37785016286645","48.33","41.96245733788396","50.636","42.41538461538462","3.8559077809798272","46.80456026058632","18.135135135135137","44.736","47.108","44.473186119873816","51.436","41.47076923076923","3.232919254658385","45.344","10.465753424657533","45.268","27.732919254658384","45.57096774193548","44.88125","39.81021897810219"
