"search-number","evaluation","evals-requested-so-far","trust_low*","trust_high*","lie_low*","lie_high*","trust_fall_low*","trust_fall_high*","lie_fall_low*","lie_fall_high*","trust_rise_low*","trust_rise_high*","lie_rise_low*","lie_rise_high*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","371","500","0","20","0","30","0","2","0","1","0","2","0","1","""1931296194""","22.463503649635037","22.463503649635037","22.463503649635037","0","22.463503649635037"
"1","372","500","0","20","0","30","0","2","0","1","0","2","0","1","""-480836510""","20.43006993006993","20.43006993006993","20.43006993006993","0","20.43006993006993"
"1","373","500","0","20","0","30","0","2","0","1","0","2","0","1","""1302395843""","20.118081180811807","20.118081180811807","20.118081180811807","0","20.118081180811807"
"1","374","500","0","20","0","30","0","2","0","1","0","2","0","1","""1942493814""","19.703703703703702","19.703703703703702","19.703703703703702","0","19.703703703703702"
"1","375","500","0","20","0","30","0","2","0","1","0","2","0","1","""-418550490""","23.742753623188406","23.742753623188406","23.742753623188406","0","23.742753623188406"
"1","376","500","0","20","0","30","0","2","0","1","0","2","0","1","""-813602235""","20.335714285714285","20.335714285714285","20.335714285714285","0","20.335714285714285"
"1","377","500","0","20","0","30","0","2","0","1","0","2","0","1","""-1624192984""","20.15357142857143","20.15357142857143","20.15357142857143","0","20.15357142857143"
"1","378","500","0","20","0","30","0","2","0","1","0","2","0","1","""475293127""","21.14946619217082","21.14946619217082","21.14946619217082","0","21.14946619217082"
"1","379","500","0","20","0","30","0","2","0","1","0","2","0","1","""1674140771""","22.15523465703971","22.15523465703971","22.15523465703971","0","22.15523465703971"
"1","380","500","0","20","0","30","0","2","0","1","0","2","0","1","""-1288572647""","23.75971731448763","23.75971731448763","23.75971731448763","0","23.75971731448763"
"1","381","500","0","80","0","40","0","3","0","4","0","1","0","3","""-598857130""","26.06737588652482","26.06737588652482","26.06737588652482","0","26.06737588652482"
"1","382","500","0","80","0","40","0","3","0","4","0","1","0","3","""-588999160""","25.70967741935484","25.70967741935484","25.70967741935484","0","25.70967741935484"
"1","383","500","0","80","0","40","0","3","0","4","0","1","0","3","""681387928""","26.855072463768117","26.855072463768117","26.855072463768117","0","26.855072463768117"
"1","384","500","0","80","0","40","0","3","0","4","0","1","0","3","""-846394694""","25.192028985507246","25.192028985507246","25.192028985507246","0","25.192028985507246"
"1","385","500","0","80","0","40","0","3","0","4","0","1","0","3","""-477604852""","23.593406593406595","23.593406593406595","23.593406593406595","0","23.593406593406595"
"1","386","500","0","80","0","40","0","3","0","4","0","1","0","3","""-1846883779""","25.003521126760564","25.003521126760564","25.003521126760564","0","25.003521126760564"
"1","387","500","0","80","0","40","0","3","0","4","0","1","0","3","""2085857165""","27.77859778597786","27.77859778597786","27.77859778597786","0","27.77859778597786"
